0.92	19.7	65.9	1	48	752	131.2	2	306.32	0.781	0	0	12	9	1	0	0	0.809	0	-0.032	0	0.135	0.305	38	0	-0.032
0.8	18.6	68.6	0	125	1000	64	5	157.08	0.629	0	0	13	5	0	0	0	0.828	0.001	0.961	0	0.007	-0.408	24	0.001	0.585
0.8	18.6	68.6	0	125	1000	64	5	157.08	0.636	0	0	13	5	0	0	0	0.828	0	0.157	0	0.011	0.655	24	0	0.282
0	0	0	3	0	0	7.88	4.4	5.4	0.464	8719.1	0	11	1	3	0	0	0.944	1	0.376	2	0.999	0.65	17	1	0.784
0.92	19.3	64.9	3	93	1000	5.96	7.44	92.44	0.781	83.7	2.834e-08	3	6	3	0	0	0.625	0.099	0.613	0	0.404	0.289	10	0.145	0.63
0	0	0	7	3	182	3.6	5.68	2	0.629	642.2	0	3	9	7	0	0	0.769	1	2.52	2	0.995	0.561	30	1	5.28
0	0	0	5	0	0	2.44	3.64	1	0.523	298.8	1.683e-15	3	7	5	0	0	0.731	1	1.84	0	0.755	0.459	19	1	2.45
0	0	0	0	0	0	6	47.92	17.84	0.457	0	0	4	5	0	0	0	0.815	0	-0.894	0	0.02	-0.469	22	0	-0.828
0.96	17.8	61.2	3	73	1000	39.2	15.04	33.68	0.623	0	0	2	7	3	0	0	0.759	0	-1.844	0	0.106	-1.268	22	0.001	-1.855
0	0	0	0	0	0	2	0	1.6	0.272	7685.4	0	1	2	0	0	0	0.929	1	2.63	0	0.999	0.644	26	1	4.21
0	0	0	0	2	192	4.52	1	5	0.318	7685.4	0	1	2	0	0	0	0.931	1	0.812	0	0.822	0.655	27	1	0.851
0.96	21.9	68.4	0	124	1000	112.12	12.08	76.72	0.709	3583.2	0	1	2	0	0	0	0.92	0.757	1.19	0	0.603	0.484	23	0.837	1.4
0	0	0	1	0	0	2	1	1.8	0.53	0	0	2	3	1	0	0	0.897	0.004	-0.545	0	0.004	-0.539	26	0.005	-0.521
0.93	20.5	66.5	1	125	1000	58.56	5.12	81.92	0.669	0	0	5	6	1	0	0	0.793	0.34	0.097	0	0.216	0.431	23	0.14	0.224
0	0	0	6	2	365	56.36	15.44	67.76	0.563	129	2.218e-13	4	2	6	0	0	0.926	0.998	2.11	2	0.305	0.379	25	1	2.41
0	0	0	6	2	365	56.36	15.44	67.76	0.589	129	2.218e-13	4	3	6	0	0	0.889	0.977	2.61	0	0.187	0.462	24	0.991	2.86
0	0	0	1	0	0	4.6	3.56	2	0.563	0	0	4	1	1	0	0	0.964	0.008	1.1	0	0.271	0.655	27	0.007	0.668
0.9	17.3	62.2	2	125	1000	12.4	6.88	85.64	0.603	0	0	1	6	2	0	0	0.854	0.9	2.04	4	0.06	0.561	35	0.902	2.04
0	0	0	1	0	0	3.76	6.52	2.48	0.589	0	0	6	10	1	0	0	0.744	0.004	0.236	0	0.023	0.655	29	0.002	0.168
0	0	0	1	0	0	4	8	2	0.623	248.9	5.446e-17	6	9	1	0	0	0.727	0	-1.126	0	0.006	-0.959	24	0	-0.989
0	0	0	2	8	942	4	22.68	1.8	0.503	323.1	0	6	3	2	0	0	0.85	1	2.49	2	0.944	0.313	17	1	3.5
0	0	0	0	28	803	248	47.16	22.12	0.503	0	0	6	3	0	0	0	0.9	0	0.388	0	0.002	0.533	27	0	-0.021
0	0	0	7	94	1000	25.36	17.88	15.56	0.682	268.8	0	11	3	7	0	0	0.906	1	1.69	1	0.954	0.334	29	1	1.5
0	0	0	2	1	131	3.36	6	6	0.364	1172.1	0	5	6	2	0	0	0.778	1	2.15	0	0.996	0.482	21	0.998	2.11
0	0	0	2	0	0	4	2.04	6	0.371	1172.1	0	5	6	2	0	0	0.786	1	2.15	0	0.961	0.482	22	1	3.61
0	0	0	2	0	0	4	2.04	6	0.371	1172.1	0	5	6	2	0	0	0.786	0.998	2.15	0	0.926	0.482	22	1	3.61
0	0	0	2	0	0	1.68	1	4	0.358	1172.1	0	5	5	2	0	0	0.815	1	2.15	1	0.997	0.482	22	1	3
0	0	0	2	0	0	1.68	1	4	0.371	1172.1	0	5	5	2	0	0	0.821	1	2.15	0	0.997	0.482	23	1	2.76
0.96	18.6	62.7	2	125	1000	77.68	3.32	139.32	0.603	0	0	5	8	2	0	0	0.81	0	0.312	0	0.754	0.491	34	0	0.302
0.96	18.6	62.7	2	125	1000	77.68	3.32	139.32	0.609	0	0	5	8	2	0	0	0.81	0	-0.075	0	0.758	0.491	34	0	-0.077
0.96	18.6	62.7	2	125	1000	77.68	3.32	139.32	0.609	0	0	5	8	2	0	0	0.814	0.001	0.924	0	0.755	0.491	35	0.001	0.905
0.96	18.6	62.7	2	125	1000	64.12	3.08	109.04	0.596	0	0	5	8	2	0	0	0.814	0	-0.499	0	0.735	0.402	35	0	-0.455
0.96	18.6	62.7	2	125	1000	64.12	3.08	109.04	0.609	0	0	5	8	2	0	0	0.814	0	-0.563	0	0.626	0.402	35	0	-0.484
0.96	18.6	62.7	2	125	1000	64.12	3.08	109.04	0.616	0	0	5	8	2	0	0	0.814	0	-0.477	0	0.572	0.402	35	0	-0.433
0.96	18.6	62.7	2	125	1000	64.12	3.08	109.04	0.616	0	0	5	8	2	0	0	0.814	0	-1.451	0	0.503	0.402	35	0	-1.298
0.96	18.6	62.7	2	125	1000	64.12	3.08	109.04	0.616	0	0	5	8	2	0	0	0.814	0.003	1.64	0	0.415	0.561	35	0.003	1.64
0.96	18.6	62.7	2	125	1000	64.12	3.08	109.04	0.616	0	0	5	8	2	0	0	0.814	0	-0.908	0	0.055	0.561	35	0	-0.894
0	0	0	1	43	866	3.76	21.6	8.6	0.51	820.1	0	6	7	1	0	0	0.767	1	2.5	0	0.998	0.557	23	1	1.82
0	0	0	0	12	610	131	16.76	70.84	0.556	610	0	6	8	0	0	0	0.765	0.995	2.05	0	0.906	0.459	26	0.996	2.13
0.86	14.5	58.1	0	125	1000	25.08	3	56.24	0.662	3903.3	0	2	6	0	0	0	0.793	0.438	0.32	1	0.4	0.305	23	0.908	0.299
